Nome,Voto_Effetto,Voto_Sapore,Caratteristiche Principali
"Ashwagandha, Bacopa",0,0,
"Ashwagandha, Bobinsana",0,0,
"Ashwagandha, Efedra",0,0,
"Ashwagandha, Fagiolo Vellutato",0,0,
"Ashwagandha, Ginkgo Biloba",0,0,
"Ashwagandha, Ginseng",0,0,
"Ashwagandha, Ilex Guayasa",0,0,
"Ashwagandha, Moringa",0,0,
"Ashwagandha, Rodiola Rosea",0,0,
"Ashwagandha, Té nero",0,0,
"Ashwagandha, Té verde",0,0,
"Ashwagandha, Yerba Mate",0,0,
"Bacopa, Bobinsana",0,0,
"Bacopa, Efedra",0,0,
"Bacopa, Fagiolo Vellutato",0,0,
"Bacopa, Ginkgo Biloba",0,0,
"Bacopa, Ginseng",0,0,
"Bacopa, Ilex Guayasa",0,0,
"Bacopa, Moringa",0,0,
"Bacopa, Rodiola Rosea",0,0,
"Bacopa, Té nero",0,0,
"Bacopa, Té verde",0,0,
"Bacopa, Yerba Mate",0,0,
"Bobinsana, Efedra",0,0,
"Bobinsana, Fagiolo Vellutato",0,0,
"Bobinsana, Ginkgo Biloba",0,0,
"Bobinsana, Ginseng",0,0,
"Bobinsana, Ilex Guayasa",0,0,
"Bobinsana, Moringa",0,0,
"Bobinsana, Rodiola Rosea",0,0,
"Bobinsana, Té nero",0,0,
"Bobinsana, Té verde",0,0,
"Bobinsana, Yerba Mate",0,0,
"Efedra, Fagiolo Vellutato",0,0,
"Efedra, Ginkgo Biloba",0,0,
"Efedra, Ginseng",0,0,
"Efedra, Ilex Guayasa",0,0,
"Efedra, Moringa",0,0,
"Efedra, Rodiola Rosea",0,0,
"Efedra, Té nero",0,0,
"Efedra, Té verde",0,0,
"Efedra, Yerba Mate",0,0,
"Fagiolo Vellutato, Ginkgo Biloba",0,0,
"Fagiolo Vellutato, Ginseng",0,0,
"Fagiolo Vellutato, Ilex Guayasa",0,0,
"Fagiolo Vellutato, Moringa",0,0,
"Fagiolo Vellutato, Rodiola Rosea",0,0,
"Fagiolo Vellutato, Té nero",0,0,
"Fagiolo Vellutato, Té verde",0,0,
"Fagiolo Vellutato, Yerba Mate",0,0,
"Ginkgo Biloba, Ginseng",0,0,
"Ginkgo Biloba, Ilex Guayasa",0,0,
"Ginkgo Biloba, Moringa",0,0,
"Ginkgo Biloba, Rodiola Rosea",0,0,
"Ginkgo Biloba, Té nero",0,0,
"Ginkgo Biloba, Té verde",0,0,
"Ginkgo Biloba, Yerba Mate",0,0,
"Ginseng, Ilex Guayasa",0,0,
"Ginseng, Moringa",0,0,
"Ginseng, Rodiola Rosea",0,0,
"Ginseng, Té nero",0,0,
"Ginseng, Té verde",0,0,
"Ginseng, Yerba Mate",0,0,
"Ilex Guayasa, Moringa",0,0,
"Ilex Guayasa, Rodiola Rosea",0,0,
"Ilex Guayasa, Té nero",0,0,
"Ilex Guayasa, Té verde",0,0,
"Ilex Guayasa, Yerba Mate",0,0,
"Moringa, Rodiola Rosea",0,0,
"Moringa, Té nero",0,0,
"Moringa, Té verde",0,0,
"Moringa, Yerba Mate",0,0,
"Rodiola Rosea, Té nero",0,0,
"Rodiola Rosea, Té verde",0,0,
"Rodiola Rosea, Yerba Mate",0,0,
"Té nero, Té verde",0,0,
"Té nero, Yerba Mate",0,0,
"Té verde, Yerba Mate",0,0,
"Ashwagandha, Bacopa, Bobinsana",0,0,
"Ashwagandha, Bacopa, Efedra",0,0,
"Ashwagandha, Bacopa, Fagiolo Vellutato",0,0,
"Ashwagandha, Bacopa, Ginkgo Biloba",0,0,
"Ashwagandha, Bacopa, Ginseng",0,0,
"Ashwagandha, Bacopa, Ilex Guayasa",0,0,
"Ashwagandha, Bacopa, Moringa",0,0,
"Ashwagandha, Bacopa, Rodiola Rosea",0,0,
"Ashwagandha, Bacopa, Té nero",0,0,
"Ashwagandha, Bacopa, Té verde",0,0,
"Ashwagandha, Bacopa, Yerba Mate",0,0,
"Ashwagandha, Bobinsana, Efedra",0,0,
"Ashwagandha, Bobinsana, Fagiolo Vellutato",0,0,
"Ashwagandha, Bobinsana, Ginkgo Biloba",0,0,
"Ashwagandha, Bobinsana, Ginseng",0,0,
"Ashwagandha, Bobinsana, Ilex Guayasa",0,0,
"Ashwagandha, Bobinsana, Moringa",0,0,
"Ashwagandha, Bobinsana, Rodiola Rosea",0,0,
"Ashwagandha, Bobinsana, Té nero",0,0,
"Ashwagandha, Bobinsana, Té verde",0,0,
"Ashwagandha, Bobinsana, Yerba Mate",0,0,
"Ashwagandha, Efedra, Fagiolo Vellutato",0,0,
"Ashwagandha, Efedra, Ginkgo Biloba",0,0,
"Ashwagandha, Efedra, Ginseng",0,0,
"Ashwagandha, Efedra, Ilex Guayasa",0,0,
"Ashwagandha, Efedra, Moringa",0,0,
"Ashwagandha, Efedra, Rodiola Rosea",0,0,
"Ashwagandha, Efedra, Té nero",0,0,
"Ashwagandha, Efedra, Té verde",0,0,
"Ashwagandha, Efedra, Yerba Mate",0,0,
