Nome,Tipo,Voto_Effetto,Voto_Sapore,Caratteristiche Principali,Forma,Concentrazione,Dosaggio,Modalita_Assunzione,Descrizione,Link,Prezzo
Ashwagandha,nootropiche,0,0,,,,,,,,
Bacopa,nootropiche,0,0,,,,,,,,
Bobinsana,nootropiche,0,0,,,,,,,,
Efedra,nootropiche,0,0,,,,,,,,
Fagiolo Vellutato,nootropiche,0,0,,,,,,,,
Ginkgo Biloba,nootropiche,0,0,,,,,,,,
Ginseng,nootropiche,0,0,,,,,,,,
Ilex Guayasa,nootropiche,0,0,,,,,,,,
Moringa,nootropiche,0,0,,,,,,,,
Rodiola Rosea,nootropiche,0,0,,,,,,,,
Té nero,nootropiche,0,0,,,,,,,,
Té verde,nootropiche,0,0,,,,,,,,
Yerba Mate,nootropiche,0,0,,,,,,,,
Akuamma,sedative,0,0,,,,,,,,
Artemisia,sedative,0,0,,,,,,,,
Biancospino,sedative,0,0,,,,,,,,
Camomilla,sedative,0,0,,,,,,,,
Coda di Leone,sedative,0,0,,,,,,,,
Corydalis,sedative,0,0,,,,,,,,
Damiana,sedative,0,0,,,,,,,,
Gelsomino,sedative,0,0,,,,,,,,
Lattuga Selvatica,sedative,0,0,,,,,,,,
Papavero della california,sedative,0,0,,,,,,,,
Papavero Selvatico,sedative,0,0,,,,,,,,
Passiflora,sedative,0,0,,,,,,,,
Pedicularis Hirsuta,sedative,0,0,,,,,,,,
Kava,sedative,0,0,,,,,,,,
Loto Blu,sedative,0,0,,,,,,,,
Loto Rosa,sedative,0,0,,,,,,,,
Marihuanilla,sedative,0,0,,,,,,,,
Melissa,sedative,0,0,,,,,,,,
Mulungu,sedative,0,0,,,,,,,,
Skullcap,sedative,0,0,,,,,,,,
Valeriana,sedative,0,0,,,,,,,,
Calendula,salutari,0,0,,,,,,,,
Edera,salutari,0,0,,,,,,,,
Iperico,salutari,0,0,,,,,,,,
Spirulina,salutari,0,0,,,,,,,,
Pau D'Arco,salutari,0,0,,,,,,,,
Verbasco,salutari,0,0,,,,,,,,
Bucce Arancia,aromatiche,0,0,,,,,,,,
Galanga,aromatiche,0,0,,,,,,,,
Lavanda,aromatiche,0,0,,,,,,,,
Menta piperita,aromatiche,0,0,,,,,,,,
Rosa di Damasco,aromatiche,0,0,,,,,,,,
Sanango,ritualistiche,0,0,,,,,,,,
Sinicuichi,ritualistiche,0,0,,,,,,,,
Calea Zacatechichi,oneirogene,0,0,,,,,,,,
Silene Capensis,oneirogene,0,0,,,,,,,,
